Name,CCLE_ID,depMapID,GDSC_CELL_LINE_NAME
RL,RL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000371,RL
RL95-2,RL952_ENDOMETRIUM,ACH-000965,RL95-2
RMG-I,RMGI_OVARY,ACH-000719,RMG-I
RPMI 8226,RPMI8226_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000817,RPMI-8226
RPMI-7951,RPMI7951_SKIN,ACH-000348,RPMI-7951
RT-112,RT112_URINARY_TRACT,ACH-000473,RT-112
RVH-421,RVH421_SKIN,ACH-000614,RVH-421
Raji,RAJI_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000654,Raji
Reh,REH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000960,REH
SBC-5,SBC5_LUNG,ACH-000670,SBC-5
SCC-25,SCC25_UPPER_AERODIGESTIVE_TRACT,ACH-000188,SCC-25
SCC-4,SCC4_UPPER_AERODIGESTIVE_TRACT,ACH-000238,SCC-4
SF-295,SF295_CENTRAL_NERVOUS_SYSTEM,ACH-000376,SF295
SF268,SF268_CENTRAL_NERVOUS_SYSTEM,ACH-000655,SF268
SF539,SF539_CENTRAL_NERVOUS_SYSTEM,ACH-000273,SF539
SH-4,SH4_SKIN,ACH-000441,SH-4
SHP-77,SHP77_LUNG,ACH-000790,SHP-77
SIMA,SIMA_AUTONOMIC_GANGLIA,ACH-000099,SIMA
SJSA-1,SJSA1_BONE,ACH-000748,SJSA-1
SK-CO-1,SKCO1_LARGE_INTESTINE,ACH-000400,SK-CO-1
SK-ES-1,SKES1_BONE,ACH-000087,SK-ES-1
SK-HEP-1,SKHEP1_LIVER,ACH-000361,SK-HEP-1
SK-MEL-2,SKMEL2_SKIN,ACH-001190,SK-MEL-2
SK-MEL-24,SKMEL24_SKIN,ACH-000822,SK-MEL-24
SK-MEL-30,SKMEL30_SKIN,ACH-000810,SK-MEL-30
SK-MEL-5,SKMEL5_SKIN,ACH-000730,SK-MEL-5
SK-MES-1,SKMES1_LUNG,ACH-000665,SK-MES-1
SK-MM-2,SKMM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000363,SK-MM-2
SK-N-AS,SKNAS_AUTONOMIC_GANGLIA,ACH-000260,SK-N-AS
SK-N-DZ,SKNDZ_AUTONOMIC_GANGLIA,ACH-000366,SK-N-DZ
SK-N-FI,SKNFI_AUTONOMIC_GANGLIA,ACH-000341,SK-N-FI
SK-OV-3,SKOV3_OVARY,ACH-000811,SK-OV-3
SK-UT-1,SKUT1_SOFT_TISSUE,ACH-000939,SK-UT-1
SKM-1,SKM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000373,SKM-1
SNB75,SNB75_CENTRAL_NERVOUS_SYSTEM,ACH-000504,SNB75
SNG-M,SNGM_ENDOMETRIUM,ACH-000974,SNG-M
SNU-1,SNU1_STOMACH,ACH-000932,SNU-1
SNU-387,SNU387_LIVER,ACH-000478,SNU-387
SNU-398,SNU398_LIVER,ACH-000221,SNU-398
SNU-407,SNU407_LARGE_INTESTINE,ACH-000955,SNU-407
SNU-423,SNU423_LIVER,ACH-000493,SNU-423
SNU-449,SNU449_LIVER,ACH-000420,SNU-449
SNU-61,SNU61_LARGE_INTESTINE,ACH-000532,SNU-61
SU-DHL-1,SUDHL1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000664,SU-DHL-16
SU-DHL-4,SUDHL4_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000365,SU-DHL-4
SU.86.86,SU8686_PANCREAS,ACH-000114,SU8686
SUIT-2,SUIT2_PANCREAS,ACH-000652,SUIT-2
SUP-B15,SUPB15_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000059,SUP-B15
SUP-M2,SUPM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000226,SUP-M2
SUP-T1,SUPT1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,ACH-000953,SUP-T1
SW 1088,SW1088_CENTRAL_NERVOUS_SYSTEM,ACH-000437,SW1088
SW 1271,SW1271_LUNG,ACH-000890,SW1271
